P\T,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390
6000000.0,1002.8078,1002.6067,1001.001,998.4026,994.8269,990.6875,985.8044,980.296,974.374,967.8668,960.984,953.5616,945.8054,937.6465,929.0227,919.9632000000001,910.498,900.6575,890.3134,879.43,868.1309,856.1644,843.6683,830.4268,816.3932,801.39,785.6077,768.4623,,,,,,,,,,,,
6200000.0,1002.9083999999999,1002.7072999999999,1001.1012,998.4026,994.9259,990.6875,985.9016,980.3922,974.4689,967.9605,961.0764,953.6525,945.8948,937.7344,929.19,920.0478,910.6639,900.7386,890.3927,879.5848,868.2817,856.31,843.8106,830.6338,816.6599,801.796,785.9164,768.7577,,,,,,,,,,,,
6400000.0,1003.009,1002.7072999999999,1001.2014,998.5022,995.0249,990.7857,985.9016,980.4883,974.5639,968.0542,961.1688,953.7434,945.9843,937.8224,929.1953,920.2172,910.7468,900.9009,890.5513,879.7396,868.4325,856.531,843.9531,830.7718,816.86,801.9889,786.1635,769.0533,,,,,,,,,,,,
6600000.0,1003.1095999999999,1002.8078,1001.3015999999999,998.602,995.1239,990.8839,985.9988,980.5844,974.5639,968.1479,961.2612,953.8344,946.0738,937.9103,929.2817,920.3019,910.9127,900.9821,890.7099,879.8944,868.5833,856.6778,844.1668,830.9789,817.0602,802.2463,786.4108,769.3491,750.8071,,,,,,,,,,,
6800000.0,1003.2102000000001,1002.9083999999999,1001.3015999999999,998.7017,995.229,990.9821,986.096,980.6806,974.6589,968.2417,961.336,954.0164,946.1633,937.9983,929.4544,920.3866,910.9957,901.1445,890.7892,880.0493,868.6588,856.8246,844.3094,831.1861,817.2605,802.4394,786.6583,769.6452,751.1455,,,,,,,,,,,
7000000.0,1003.3109000000001,1003.009,1001.4018999999998,998.8014,995.322,991.0803000000001,986.1933,980.7768,974.7539,968.3354,961.446,954.1074,946.3424,938.0863,929.5408,920.556,911.0787,901.2257000000001,890.948,880.1267,868.8097,856.9715,844.5233,831.3934,817.461,802.6971,786.9059,769.9415,751.4842,,,,,,,,,,,
7200000.0,1003.4115999999999,1003.1095999999999,1001.5022,998.9012,995.4211,991.1785,986.2906,980.873,974.8489,968.4292,961.5385,954.19853,946.4321,938.2623,929.6272,920.6408,911.2448,901.3881,891.1068,880.1287,868.9607,857.1184,844.6659,831.5317,817.6615,802.8904,787.1537,770.238,751.8232,,,,,,,,,,,
7400000.0,1003.5122000000001,1003.2102000000001,1001.6025,999.001,995.4211,991.2768,986.3878,980.9692,974.9439,968.523,961.6309,954.2895,946.5215,938.3504,929.8001,920.8103,911.3278,901.5507,891.1862,880.4367,869.1118,857.3388,844.88,831.7392,817.8621,803.1483,787.4016,770.5348,752.1625,,,,,,,,,,,
7600000.0,1003.613,1003.3109000000001,1001.7028000000001,999.1008,995.5202,991.375,986.4852,981.0654,975.039,968.6168,961.7234,954.3806,946.6111,938.4384,929.8866,920.8951,911.4939,901.632,891.345,880.5918,869.2629,857.4889,845.0228,831.9468,818.0688,803.3419,787.6487,770.8317,752.5021,732.4861,,,,,,,,,,
7800000.0,1003.7137,1003.4115999999999,1001.8032,999.1008,995.6193,991.375,986.5825,981.0654,975.1341,968.7106,961.8159,954.4717,946.7007,938.5265,929.973,920.9799,911.577,901.7946,891.504,880.7469,869.414,857.6329,845.2371,832.0852,818.2636,803.6091,787.6979,771.0695,752.8426,732.4861,,,,,,,,,,
8000000.0,1003.8145000000001,1003.5122000000001,1001.9035999999999,999.2006,995.7184,991.473,986.6798,981.1617,975.2292,968.8045,961.9084,954.562,946.7804,938.6146,930.2595,921.1794,911.7433,901.8755,891.6833,880.8245,869.5652,857.7881,845.386,832.298,818.4646,803.7939,788.2084,771.3669,753.1822,733.1916,,,,,,,,,,
8199999.999999999,1003.9152,1003.613,1002.0039999999999,999.305,995.8176,991.5716,986.6798,981.258,975.3243,968.8984,962.0009,954.6639,946.8808,938.7808,930.2824,921.2849,911.8264,902.0388,891.7425,880.9796,869.7165,857.9272,845.523,832.5008,818.6656,804.0524,788.457,771.6665,753.4659,733.5681,,,,,,,,,,
8400000.0,1003.9152,1003.7137,1002.1044000000002,999.4004,995.9167,991.67,986.7772,981.3543,975.4194,968.9922,962.0935,954.7451,946.9697,938.879,930.3191,921.3193,911.9927,902.12,891.9015,881.1349,869.8678,858.0745,845.7375,832.7088,818.8667,804.2464,788.7057,771.9623,753.8067,733.945,,,,,,,,,,
8600000.0,1004.0160000000001,1003.8145000000001,1002.1044000000002,999.5003,996.0159,991.7683000000001,986.8746,981.45016,975.5146,969.0862,962.1861,954.8362,947.1491,938.9671,930.4057,921.4891,912.0759,902.2828,891.9811,881.2902,870.0191,858.2954,845.8806,832.8475,819.0679,804.5052,788.9546,772.2008,754.1478,734.3222,712.2507,,,,,,,,,
8800000.0,1004.1168,1003.9152,1002.2047999999999,999.602,996.1152,991.8667,986.972,981.5469,975.6198,969.1801,962.2787,954.9274,947.2388,939.0553,930.4922,921.574,912.1591,902.3642,892.1402,881.4456,870.1706,858.4428,846.0953,833.0556,819.2692,804.6994,789.2037,772.499,754.4323,734.6999,712.7076,,,,,,,,,
9000000.0,1004.2177000000001,1004.0160000000001,1002.3053,999.7001,996.1152,991.9651,987.0694,981.6433,975.7049,969.274,962.3713,955.086,947.3285,939.14353,930.6654,921.659,912.3255,902.5271,892.2995,881.5233,870.322,858.5902,846.2385,833.2638999999999,819.4706,804.9585,789.4529,772.7975,754.7739,735.0779,713.165,,,,,,,,,
9200000.0,1004.3184999999999,1004.0160000000001,1002.4056999999999,999.8,996.2144,992.0635,987.1668,981.7396,975.8002,969.368,962.463,955.109,947.4183,939.2317,930.752,921.7439,912.4088,902.6085,892.3791,881.6787,870.4735,858.7377,846.3817,833.4028,819.6721,805.153,789.7023,773.0963,755.1159,735.4564,713.6231,,,,,,,,,
9400000.0,1004.4194,1004.1168,1002.5062,999.8,996.3136,992.0635,987.2643,981.836,975.8954,969.4619,962.5566,955.2011,947.5081,939.4082,930.8387,921.9139,912.5753,902.7715,892.5384,881.8342,870.6251,858.8852,846.5967,833.6112,819.8737,805.4124,789.9518,773.354,755.4011,735.8352,714.0307,,,,,,,,,
9600000.000000011,1004.5203,1004.2177000000001,1002.6067,999.9,996.4129,992.1619,987.3618,981.9324,975.9906,969.5559,962.6492,955.2923,947.5978,939.4964,930.9253,921.9989,912.6586,902.853,892.6977,881.9898,870.7767,859.0327,846.7401,833.8197,820.0754,805.607,790.2015,773.6345,755.7437,736.2144,714.4899,,,,,,,,,
9800000.00000001,1004.6212000000002,1004.3184999999999,1002.7072999999999,999.9,996.5122,992.2604,987.4593,982.0289,976.0859,969.65,962.7419,955.3836,947.6876,939.5847,931.0987,922.0839,912.7419,903.0161,892.7774,882.1454,870.9284,859.1803,846.8835,833.9588,820.2773,805.8018,790.3889,773.874,756.0293,736.5397,714.9496,,,,,,,,,
10000000.0,1004.7221,1004.4194,1002.8078,1000.1,996.6115,992.3588,987.4593,982.0289,976.0859,969.744,962.8346,955.5662,947.773,939.673,931.1853,922.254,912.9085,903.0976,892.9369,882.2232,871.0801,859.4019,847.0987,834.1675,820.4792,806.0616,790.6388,774.1736,756.3724,736.9197,715.3588,690.9895,,,,,,,,
10500000.0,1005.0250999999998,1004.6212000000002,1003.009,1000.3,996.8102,992.558,987.7519,982.3183,976.3718,969.9321,963.062,955.7488,948.047,939.938,931.4456,922.5092,913.1586,903.424,893.2559,882.6125,871.4597,859.7713,847.5293,834.5852,821.0181,806.5817,791.2644,774.8935,757.1742,737.844,716.4864,692.329,,,,,,,,
11000000.0,1005.2271,1004.9241,1003.2102000000001,1000.5001999999998,997.0009,992.7529,987.947,982.5113,976.5625,970.1203,963.2983,956.0229,948.3167,940.2031,931.706,922.7646,913.4923,903.7506,893.5752,882.8242,871.8396,860.1411,847.9607,835.0731,821.4902,807.1676,791.891,775.5545,757.9203,738.7707,717.566,693.6737,,,,,,,,
